bac	fun	date	bac_16S	fun_18S	bac_fun_16S	bac_fun_18S	bac_cfu	fun_cfu	bac_cfu_co	fun_cfu_co
ID-0052	ID-0367	30.09.2024	2.35E+09	1.60E+09	2.96E+09	9.63E+08	3.80E+08	5.00E+08	1.07E+09	3.32E+08
ID-1047	ID-0367	30.09.2024	1.82E+10	1.60E+09	1.02E+10	3.04E+08	2.97E+10	5.00E+08	1.75E+10	
ID-1047	ID-0368	30.09.2024	1.82E+10	1.05E+09	1.24E+10	6.87E+08	2.97E+10	3.42E+08	1.26E+10	
ID-1047	ID-0991	30.09.2024	1.82E+10	6.26E+08	5.96E+09	3.28E+08	2.97E+10	6.80E+08	7.80E+09	
ID-0467	ID-0367	07.10.2024	3.09E+08	1.19E+09	1.11E+09	1.17E+09	1.57E+09	5.00E+08	9.80E+08	2.34E+08
ID-1443	ID-0367	07.10.2024	1.53E+10	1.19E+09	8.96E+09	3.99E+08	3.20E+09	5.00E+08	5.70E+09	6.40E+07
ID-0467	ID-0368	07.10.2024	3.09E+08	2.35E+09	4.38E+08	4.33E+08	1.06E+09	1.47E+08	9.80E+08	2.00E+06
ID-1443	ID-0368	07.10.2024	1.53E+10	2.35E+09	2.17E+10	2.38E+08	4.60E+09	1.47E+08	5.70E+09	3.90E+06
ID-0467	ID-0991	07.10.2024	3.09E+08	5.19E+08	4.50E+08	3.38E+08	1.01E+09	1.99E+08	9.80E+08	3.08E+07
ID-1443	ID-0991	07.10.2024	1.53E+10	5.19E+08	4.70E+09	3.34E+08	2.10E+09	1.99E+08	5.70E+09	1.11E+08
ID-0052	ID-0367	21.10.2024	7.71E+08	1.31E+09	2.97E+09	1.29E+09	2.86E+08	6.60E+08	1.12E+09	4.90E+08
ID-0136	ID-0367	21.10.2024	2.10E+09	1.31E+09	2.05E+09	7.34E+08	6.20E+08	6.60E+08	7.90E+08	4.60E+08
ID-0184	ID-0367	21.10.2024	7.42E+08	1.31E+09	3.46E+08	8.45E+08	1.05E+08	6.60E+08	7.10E+07	5.60E+08
ID-1456	ID-0367	21.10.2024	1.19E+10	1.31E+09	1.30E+10	2.47E+07	1.90E+08	6.60E+08	2.90E+08	9.49E+06
ID-0052	ID-0368	21.10.2024	7.71E+08	1.26E+09	1.74E+09	4.52E+08	2.86E+08	3.30E+08	6.50E+08	7.50E+07
ID-0136	ID-0368	21.10.2024	2.10E+09	1.26E+09	2.59E+09	4.89E+08	6.20E+08	3.30E+08	5.10E+08	4.10E+07
ID-0184	ID-0368	21.10.2024	7.42E+08	1.26E+09	3.91E+08	3.97E+08	1.05E+08	3.30E+08	3.90E+07	4.60E+07
ID-1456	ID-0368	21.10.2024	1.19E+10	1.26E+09	1.80E+10	2.13E+07	1.90E+08	3.30E+08	3.00E+07	8.40E+06
ID-0052	ID-0991	21.10.2024	7.71E+08	7.52E+08	9.10E+08	5.98E+08	2.86E+08	6.00E+08	1.40E+08	1.49E+08
ID-0136	ID-0991	21.10.2024	2.10E+09	7.52E+08	2.24E+09	4.60E+08	6.20E+08	6.00E+08	3.80E+08	2.19E+08
ID-0184	ID-0991	21.10.2024	7.42E+08	7.52E+08	4.04E+08	4.90E+08	1.05E+08	6.00E+08	2.70E+07	8.80E+07
ID-1456	ID-0991	21.10.2024	1.19E+10	7.52E+08	3.51E+10	5.99E+07	1.90E+08	6.00E+08	1.40E+08	9.20E+06
ID-0049	ID-0367	04.11.2024	5.14E+08	7.10E+08	8.89E+08	5.61E+08	2.64E+06	1.32E+08	1.85E+07	9.84E+07
ID-0467	ID-0367	04.11.2024	4.70E+08	7.10E+08	1.53E+09	2.98E+08	9.70E+07	1.32E+08	1.06E+08	2.77E+07
ID-1443	ID-0367	04.11.2024	1.53E+10	7.10E+08	1.75E+10	5.99E+07	1.35E+10	1.32E+08	1.64E+10	9.30E+06
ID-1609	ID-0367	04.11.2024	8.21E+06	7.10E+08	2.06E+08	4.12E+08	4.30E+06	1.32E+08	1.44E+07	5.00E+07
ID-1626	ID-0367	04.11.2024	9.00E+07	7.10E+08	4.66E+08	5.22E+08	1.20E+08	1.32E+08	9.50E+07	6.40E+07
ID-0049	ID-0368	04.11.2024	5.14E+08	7.41E+08	2.02E+09	6.29E+08	2.64E+06	4.00E+07	7.80E+06	1.96E+07
