sampleID	slice	medium	dilution	counts	manually_ex	auto_ex	used_counts	ex2	real_counts	real_counts_zero	log_counts	underestimation	undest_logcounts	ex3
B1	1	BR	1	8		0	8	0	240	240	2.380211242	0	2.380211242	0
B1	1	BR	2	0		0		x				0		x
B1	1	MRS	3	2		0	2	0	2000	2000	3.301029996	0	3.301029996	0
B1	1	MRS	4	0		0		x				0		x
B1	1	MRS	5	0		0		x				0		x
B1	1	MRS	6	0		0		x				0		x
B1	1	PCA	3	15		0	15	0	15000	15000	4.176091259	0	4.176091259	0
B1	1	PCA	4	1		0		x				0		x
B1	1	PCA	5	0		0		x				0		x
B1	1	PCA	6	0		0		x				0		x
B1	1	RCM	1	5		0	5	0	150	150	2.176091259	0	2.176091259	0
B1	1	VRBD	1	0		0	0	0	0	1	0	0	0	0
B1	1	VRBD	2	0		0		x				0		x
B1	1	VRBD	3	0		0		x				0		x
B1	1	YGC25	1	7		0	7	0	210	210	2.322219295	0	2.322219295	0
B1	1	YGC25	2	4		0		x				0		x
B1	1	YGC4	1	4		0	4	0	120	120	2.079181246	0	2.079181246	0
B1	1	YGC4	2	4		0		x				0		x
B1	2	BR	1	8		0	8	0	240	240	2.380211242	0	2.380211242	0
B1	2	BR	2	0		0		x				0		x
B1	2	MRS	2	71		0	71	0	7100	7100	3.851258349	0	3.851258349	0
B1	2	MRS	3	0		0		x				0		x
B1	2	PCA	2	127		0	127	0	12700	12700	4.103803721	0	4.103803721	0
B1	2	PCA	3	16		0	16	0	16000	16000	4.204119983	0	4.204119983	0
B1	2	RCM	1	120		0	120	0	3600	3600	3.556302501	0	3.556302501	0
B1	2	VRBD	1	7		0	7	0	210	210	2.322219295	0	2.322219295	0
B1	2	VRBD	2	1		0		x				0		x
B1	2	YGC25	1	12		0	12	0	360	360	2.556302501	0	2.556302501	0
B1	2	YGC25	2	4		0		x				0		x
B1	2	YGC4	1	14		0	14	0	420	420	2.62324929	0	2.62324929	0
B1	2	YGC4	2	1		0		x				0		x
B1	3	BR	1	12		0	12	0	360	360	2.556302501	0	2.556302501	0
B1	3	BR	2	8		0		x				0		x
B1	3	MRS	3	254		0	254	0	254000	254000	5.404833717	0	5.404833717	0
B1	3	MRS	4	32		0	32	0	320000	320000	5.505149978	0	5.505149978	0
B1	3	MRS	5	3		0		x				0		x
B1	3	PCA	3	214		0	214	0	214000	214000	5.330413773	0	5.330413773	0
B1	3	PCA	4	23		0	23	0	230000	230000	5.361727836	0	5.361727836	0
B1	3	PCA	5	0		0		x				0		x
B1	3	RCM	2	300		x	300	x				1	4.477121255	0
B1	3	VRBD	1	92		0	92	0	2760	2760	3.440909082	0	3.440909082	0
B1	3	VRBD	2	36		0	36	0	3600	3600	3.556302501	0	3.556302501	0
B1	3	VRBD	3	0		0		x				0		x
B1	3	YGC25	1	32		0	32	0	960	960	2.982271233	0	2.982271233	0
B1	3	YGC25	2	8		0		x				0		x
B1	3	YGC4	1	25		0	25	0	750	750	2.875061263	0	2.875061263	0
B1	3	YGC4	2	6		0		x				0		x
B1	4	BR	1	113		0	113	0	3390	3390	3.530199698	0	3.530199698	0
B1	4	BR	2	38		0	38	0	3800	3800	3.579783597	0	3.579783597	0
B1	4	MRS	4	300		x	300	x				0		x
B1	4	MRS	5	53		0	53	0	5300000	5300000	6.72427587	0	6.72427587	0
B1	4	MRS	6	12		0	12	0	12000000	12000000	7.079181246	0	7.079181246	0
B1	4	PCA	4	300		x	300	x				0		x
