ID	PCR1	PCR2
FR-B1-01	109022	-
FR-B1-02	109022	-
FR-B1-03	109022	109919
FR-B1-04	109022	109919
FR-B1-05	109022	109919
FR-B1-06	109022	109919
FR-B1-07	109022	109919
FR-B1-08	109022	-
FR-B1-09	109022	-
FR-B1-10	109022	-
FR-B2-01	109022	-
FR-B2-02	109022	-
FR-B2-03	109022	109919
FR-B2-04	109022	109919
FR-B2-05	109022	109919
FR-B2-06	109022	109919
FR-B2-07	109022	-
FR-B2-08	109022	-
FR-B2-09	109022	-
FR-B2-10	109022	-
FR-B3-01	109022	-
FR-B3-02	109022	-
FR-B3-03	109022	-
FR-B3-04	109022	-
FR-B3-05	109022	109919
FR-B3-06	109022	109919
FR-B3-07	109022	109919
FR-B3-08	109022	-
FR-B3-09	109022	-
FR-B3-10	109022	-
FR-B4-01	109022	-
FR-B4-02	109022	-
FR-B4-03	109022	-
FR-B4-04	109022	-
FR-B4-05	109022	-
FR-B4-06	109022	109919
FR-B4-07	109022	109919
FR-B4-08	109022	109919
FR-B4-09	109022	-
FR-B4-10	109022	-
FR-B5-01	109022	-
FR-B5-02	109022	109919
FR-B5-03	109022	109919
FR-B5-04	109022	109919
FR-B5-05	109022	-
FR-B5-06	109022	-
FR-B5-07	109022	109919
FR-B5-08	109022	109919
FR-B5-09	109022	-
FR-B5-10	109022	-
FR-B6-01	109022	-
FR-B6-02	109022	-
FR-B6-03	109022	109919
FR-B6-04	109022	109919
FR-B6-05	109022	-
FR-B6-06	109022	-
FR-B6-07	109022	109919
FR-B6-08	109022	-
FR-B6-09	109022	-
FR-B6-10	109022	-
FR-B7-01	109022	-
FR-B7-02	109022	109919
FR-B7-03	109022	109919
FR-B7-04	109022	109919
FR-B7-05	109022	109919
FR-B7-06	109022	-
FR-B7-07	109022	109919
FR-B7-08	109022	-
FR-B7-09	109022	109919
FR-B7-10	109022	-
FR-B8-01	109022	-
FR-B8-02	109022	109919
FR-B8-03	109022	109919
FR-B8-04	109022	109919
FR-B8-05	109022	109919
FR-B8-06	109022	-
FR-B8-07	109022	-
FR-B8-08	109022	-
FR-B8-09	109022	109919
FR-B8-10	109023	-
FR-B9-01	109022	-
FR-B9-02	109022	109919
FR-B9-03	109022	109919
FR-B9-04	109022	109919
FR-B9-05	109022	109919
FR-B9-06	109022	-
FR-B9-07	109022	-
FR-B9-08	109022	-
FR-B9-09	109022	-
FR-B9-10	109023	-
FR-mock	109023	109920
FR-NK11	109022	109919
FR-NK111	109919	110021
FR-NK12	109022	109919
FR-NK121	109919	110021
FR-NK21	109022	109919
FR-NK211	109919	110021
FR-NK22	109931	110097
FR-NK221	109932	110098
FR-NK3	109023	110099
FR-NK31	109699	110099
TM-1-1	109023	-
TM-1-10	109023	-
TM-1-11	109023	-
TM-1-12	109023	-
TM-1-13	109023	-
TM-1-14	109023	-
TM-1-15	109023	-
TM-1-16	109023	-
TM-1-17	109023	-
TM-1-18	109023	-
TM-1-19	109023	-
TM-1-2	109023	-
TM-1-20	109023	-
TM-1-21	109023	-
TM-1-22	109023	-
TM-1-23	109023	-
TM-1-24	109023	-
TM-1-25	109023	-
TM-1-26	109023	-
TM-1-27	109023	-
TM-1-28	109023	-
TM-1-29	109023	-
TM-1-3	109023	-
TM-1-30	109023	-
TM-1-31	109023	-
TM-1-32	109023	-
TM-1-33	109699	110099
TM-1-34	109023	110099
TM-1-35	109699	110099
TM-1-36	109023	110099
TM-1-37	109023	109920
TM-1-4	109023	-
TM-1-5	109023	-
TM-1-6	109023	-
TM-1-7	109023	-
TM-1-8	109023	-
TM-1-9	109023	-
