docid	ID	StrainCollectionID	LGCPlate	LGCPCR1	LGCPCR2	Status	specificnextstep	Kingdom	Phylum	Class	Order	Family	Genus	LGCyesorno	Comment	correcturenecessary	morphok	morphgroup	mc1	mc2	mc3	mc4
272	-	ID-0273	Plate02	ok	NA	DONE	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	NA	NA	NA	NA	NA	NA
378	-	NA	Plate03	ok	NA	DONE	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	NA	NA	NA	NA	NA	NA
379	-	NA	Plate03	ok	NA	DONE	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	NA	NA	NA	NA	NA	NA
570	-	NA	NA	ok	NA	DONE	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	NA	NA	NA	NA	NA	NA
666	-	NA	Plate06	NA	NA	EX	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	NA	NA	NA	NA	NA	NA
762	-	NA	NA	NA	NA	DONE	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	NA	NA	NA	NA	NA	NA
1052	-	NA	NA	ok	NA	DONE	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	NA	NA	NA	NA	NA	NA
1072	C1_09_YGC25_03	ID-1109	Plate06	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	NA	NA	ID	NA	NA	NA	NA	NA	NA
1071	C1_09_YGC25_04	ID-1110	Plate06	ok	NA	DONE	-	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	NA	NA	ID	NA	NA	NA	NA	NA	NA
359	C1_S01_BR_01	ID-0366	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Incertae_Sedis	Sarocladium	NA	NA	NA	yes	5	1	0	NA	NA
1076	C1_S01_BR_02	ID-1121	Plate06	ok	NA	DONE	-	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	NA	NA	yes	5	1	0	NA	NA
358	C1_S01_BR_03	ID-0367	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	5	6	3	NA	NA
357	C1_S01_BR_04	ID-0368	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	NA	NA	NA	yes	5	1	0	NA	NA
356	C1_S01_BR_05	ID-0369	Plate03	ok	NA	DONE	-	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NA	NA	NA	yes	5	1	0	NA	NA
355	C1_S01_BR_06	ID-0370	Plate03	ok	NA	DONE	-	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Vanrija	NA	NA	NA	yes	5	1	0	NA	NA
354	C1_S01_BR_07	ID-0371	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	5	1	0	NA	NA
152	C1_S01_MRS_02	ID-0149	NA	-	NA	RES	-	NV	NV	NV	NV	NV	NV	NA	if necessary …	add to sanger sequencing	yes	2	4	0	NA	NA
1319	C1_S01_MRS_02W	ID-1482	NA	NA	NA	RES	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	2	4	0	NA	NA
151	C1_S01_MRS_03	ID-0150	Plate01	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA	NA	NA	yes	2	4	0	NA	NA
150	C1_S01_MRS_04	ID-0151	Plate01	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	NA	NA	yes	2	1	0	NA	NA
149	C1_S01_MRS_05	ID-0152	Plate06	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	2	1	0	NA	NA
148	C1_S01_MRS_06	ID-0153	Plate01	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	NA	NA	yes	2	1	0	NA	NA
147	C1_S01_MRS_07	ID-0154	Plate01	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	NA	NA	yes	2	1	0	NA	NA
52	C1_S01_PCA_01	ID-0053	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA	NA	NA	yes	1	8	1	NA	NA
51	C1_S01_PCA_02	ID-0054	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA	NA	NA	yes	1	1	0	NA	NA
50	C1_S01_PCA_03	ID-0055	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA	NA	NA	yes	1	3	0	NA	NA
